sentence,label,pmid
The community of senior citizens already has great electoral power.,0,53
"This machine is a cluster of 3240 computers, each with 40 processing cores and includes both AMD and Cell processors.",0,54
"The JNC also is currently accepting applications for the vacancy created by the retirement of Judge Edwin B. Browning, Jr.",1,55
The body was inside a duffel bag that was secured with duct tape.,0,56
"The lyrics point toward sexual politics, and the lack of understanding between boys and girls.",0,57
"After several years of self-observation, Alexander began to teach his method of conscious inhibition through manual facilitated movement.",1,58
"When it was closer she saw the light was coming from a flashlight being carried in the mouth of a large black Scottie dog, its muzzle gray with age.",1,59
The crew had dug a trench for her to walk in so that she would not dwarf the star.,0,60
"The beautiful hydrothermal features in the park , the uplift and subsidence, and many of the earthquakes are caused by the movements of hydrothermal and/or magmatic fluids.",1,61
GolTV's unique offering positions it in the highly competitive US media market as the only TV channel devoted exclusively to soccer.,0,62
"As soon as the ceremony is done, the couple holds a bottle with love testimony in it and puts it into the ocean.",0,63
He poured his passion into his lover.,0,64
The climber had a hook in each hand.,0,65
This paper discusses an on-line signature verification method based on angular direction of pen point movement .,0,66
The delay in the progression of these applications has been caused by the original applicants.,1,67
"A common side effect of strict elimination after extended periods of use is headaches from caffeine withdrawal, which is also a clear sign of the addiction.",1,68
This article is about pre-existing conditions with respect to health insurance.,0,69
An MRI machine measures the response with a computer.,0,70
William H. Parker was the longest serving police chief in Los Angeles Police Department.,0,71
The medical devices were inserted into a female teen patient.,0,72
Researchers synthesized the basic ingredients.,0,73
A mason has removed the original left and right edges and in their place has prepared a simple moulding on each side.,0,74
The companies have gone into liquidation.,0,75
Contact the router's manufacturer for assistance with configuration and proper setup of your wired router.,0,76
The scandals are caused by the young female celebs who 'inadvertently' reveal glimpses of their naked faces as they get out of limousines.,1,77
"Thick oatmeal cookies are soft, while the thin ones are crispy.",0,78
"The company has constructed a demonstration house at the BRE Innovation Park, at Watford, using the same combination of timber and Hemcrete.",0,79
A basic data entry has been added to the database.,0,80
The man pushed the woman into the windscreen.,0,81
"The writer has a 'bottle of ink, a pen and a blotter'.",0,82
The sensor has a coil winding in the shell of the cylinder.,0,83
"The drop was caused by the recession and the usual seasonal factors, with fruit and vegetable prices lower in the summer months.",1,84
"The factory's repertoire expanded to include coalminers workwear, military clothing, and emergency service uniforms.",0,85
"For example, consonants were misplaced into consonant slots.",0,86
The second biggest problem for dogs and their teeth is that hard chews can break the teeth.,0,87
Original mammography films are being delivered to viewers.,0,88
The organization delivered meals to homebound seniors.,0,89
The dotted line refers to experimental and simulated data.,0,90
'Transition' are the series of large mirrored beach hits that cling to the stubborn undulation of the cliffs above McKenzie's Bay.,0,91
Several cats ran into Rob's garage.,0,92
The bark of this tree trunk presented an interesting pattern.,0,93
"But for the family that shares the cooking and clean up duties, the kitchen holds a special nuturing role beyond supplying nutrition for the physical body.",0,94
But the most damage has been caused by the corrosive effects of wind and water.,1,95
The foreign company has entered into the insurance market in China.,0,96
"Harriers are large, slender hawk-like birds with long tails and long, thin legs.",0,97
My earliest research interest stemmed from an internship at Tall Timbers.,1,98
Silent black-and-white flashbacks show his brother punching him with gloves as his father looks on.,0,99
"The team finishes the season with a 9-11 record, just short of tournament contention.",0,100
Other orders on environmental legislation and abortion issues were also under consideration.,0,101
This pipeline has transported natural gas to the urban area.,0,102
"At the moment, we have to expend a great deal of effort to fight black Sigatoka, which attacks the banana plant's leaves.",0,103
The influential towns of Brownville and Fontanelle were founded that year as well.,0,104
"Mind you, a backpack is interpreted as a sign of geeks.",0,105
Researchers put bio-energetics into bio-magnification.,0,106
We chose a server driven approach to link prefetching.,0,107
I have imported an audio book into the software.,0,108
He opened up the nostrils in the nose a bit to fit the left and right winglets into it.,0,109
Takeovers have taken Ted's portfolio into new territory.,0,110
"Just as Jack says, ""On deck, you scabrous dogs,"" to the very left edge of the screen over Jack's shoulder is a grip crew member with a tan cowboy hat, white short sleeve tee shirt and sunglasses, just standing there looking out to sea.",0,111
Molten globules have moved into action.,0,112
"The three themes for the conference were pluralism, sustainability and innovation.",0,113
The left pin of the potentiometer is the ground connection.,0,114
The handbag was locked in a glass display case.,0,115
The top photo shows a worker with a poorly fitting dust mask.,0,116
"The clip on the back of the little plastic puck like holder is handy for clipping onto your belt, backpack, arm band or lady's bag strap.",0,117
The scientists poured money into pint cancer research.,0,118
This ingredient also repairs the damage that has been caused by the sun.,1,119
"Two days later, the salt water fish was put into a fresh water pound.",0,120
"On the other hand, the information being carried in a high frequency quasi-sinusoidal wave invites comparisons with the auditory system of vertebrates.",0,121
"The pendant with the bail measure 1 1/4"".",0,122
The Bishop was also happy to talk about some of the contentious issues affecting the church at the moment.,0,123
Melvin Hancock was one of the residents to spot the about 85 pound full-grown coyote and other residents have seen a band of coyotes with a litter of pups.,0,124
The ATM malfunction caused a rush on the ATM machine until the police sealed off the area.,1,125
"Strikingly large in scale, this grater shaves a perfect portion in a single stroke.",0,126
"The world is experiencing an unprecedented glut of savings, driving down real interest rates.",0,127
This is an online notebook for astronomers and space scientists wanting to become involved in science education.,0,128
The vibrations caused a violent twisting motion on the bridge.,1,129
Scars from burns happen when the entire depth of the skin is destroyed by heat.,1,130
We poured a mixed seasoning into the sauce on the stove.,0,131
Hotels and restaurants Downtown are prepared to handle the crush of delegates.,0,132
It is text at the top of a newspaper article indicating the nature of the article below it.,0,133
"Cayenne pepper is a miracle cure for ulcers and so many other conditions, plus aids assimilation of nutrients and vitamins.",0,134
"In a similar context, this circuit has followed the rule that reinstatement is a basic element of the appropriate remedy in wrongful employee discharge cases.",0,135
"April, 1903 saw the first issue of the Delta Chi Quarterly published for a fraternity of fourteen chapters and fewer than 3000 alumni.",0,136
Bolus was injected into ports above the filter set.,0,137
"Jug wine has a bad reputation, with many considering it cheap and low-quality.",0,138
The virus is exported to the hard disk.,0,139
The decline has been caused by the immigration of lower ability immigrants.,1,140
"Plaintiffs seek compensatory damages for personal injuries, property damage, emotional distress, and expenses resulting from the evacuation after the explosion.",1,141
There is a cluster of nerves that is located below each ear and at the hinge of the jaw.,0,142
"I looked straight under the nose of the plane and sure enough, I was directly over the tiny airstrip.",0,143
"When the merchant was ready to come home, he had bought a diamond necklace for his first daughter.",0,144
They are navigational maps based on realistic descriptions of harbours and coasts.,0,145
"It's a fish with lungs, and it can survive on land for brief periods.",0,146
In 1805 merchants of the city formed a troop of cavalry in Montreal.,0,147
The suitcase was full of smart new clothes.,0,148
They continued in conversation when the teacher tapped him on the head with a screwdriver.,0,149
"The sinking resulted in the loss of 112 lives, including those of 28 Americans.",1,150
The reference signal was generated from an auxiliary photomultiplier  with a quantum counter.,1,151
"When deliberations began, the crowd of people jamming the hallways radiated optimism.",1,152
Fainting is a common cause of unconsciousness and may occur when the casualty's heart rate is too slow to maintain sufficient blood pressure for the brain.,1,153
The painter's marks represent the story of a hunt or a great war; my symbols represent the story of a problem and its solution.,0,154
Potato starch tolerates higher temperatures than cornstarch when used as a thickener.,0,155
We continue to see progress toward a world free of the daily terror of antipersonnel landmines.,1,156
This rather bizarre picture is of a whirl hedge of herons - for such is the collective noun for these birds.,0,157
"On his journeys around the world, Yasser Arafat was in the habit of taking a suitcase full of cash for ""emergency"" cases.",0,158
This photograph shows the vortices created by the water strider's legs as it moves across the water.,1,159
We were a congregation of young people concerned about the religious education of our children as well as creating a good life in our community.,0,160
"In early 2007 renewed a coal mining activity in the region triggered the earthquake, although earthquake activity has been present in the area at least since white settlement first occurred.",1,161
Stone grinding is very technical.,0,162
"He has worked on a wide array of topics, including transportation security and the future of the FAA and the national airspace system.",0,163
The company has been dragged into a lawsuit.,0,164
We double-checked that a maximum of 80 larvae were placed inside each vial.,0,165
An inflammation of the liver caused by the hepatitis A virus .,1,166
Our staff has approached many people for the product survey.,0,167
The speed indicator of the bus wasn't working and the driver was driving like mad.,0,168
"The winds are caused by moisture, originating off the Pacific coast, cooling as they climb the western slopes, and then rapidly warming as they drop down the eastern side of the mountains.",1,169
"In December, 1216, Pope Honorius III , the successor of Innocent III, approved Dominic's plan for an order of contemplative preachers exercising the priestly ministry and living in mendicant poverty.",0,170
"Acne is caused by infections that occur when pores in the skin are filled with oil, dirt, or other substances.",1,171
"Symptoms vary according to the degree of inflammation caused by the bacteria, ranging from slightly loose stools to bloody diarrhea, abdominal pain, and fever.",1,172
Swelling of the resin is caused by the expansion of the structure as a result of water  molecules penetrating the matrix.,1,173
Below is a list of the books of the bible.,0,174
"Also, we note the convergence over the lakes caused by the land breeze circulation.",1,175
"Some players attach a pickup to their traditional string instrument to ""electrify"" it.",0,176
His new research shows that the tree trunks in the forest act like hot water bottles.,0,177
The margarine is imitation butter was without the superior flavor and pleasant mouthfeel.,0,178
"In your issue of April 26 a photograph shows a woman doctor with a precautionary mask against SARS infection, attending a patient.",0,179
Television cooking shows and more advertising have put wine in the limelight.,0,180
"It is the most efficient and compact form of insulation in a carafe, and it's unbreakable.",0,181
"Although some of the stories were based on historical truths, most were a weaving of Greek, Roman and Celtic myths.",0,182
"The second format is that of roundtables organised around keywords, that offer students the opportunity to participate in dialogue.",0,183
The victim slipped off the gangway while attempting to close the lid of the tank trailer.,0,184
War and rural poverty cause mass migration of people and often simultaneous growth of informal development.,1,185
World practices have shown that often local authorities are quicker to respond to the natural disasters caused by the climate change.,1,186
Critical audience studies are migrating into intellectual inquiry focused on participation developing the stress on processes of interactive engagement.,0,187
The VP's wife was a member of a succession movement.,0,188
The speech also devoted considerable time to foreign affairs.,0,189
"In a power system consisting of transmission lines connected together and to two or more generators, the rotors of the generators rotate at a constant speed.",0,190
The manager has added background text watermarks into the existing PDF file.,0,191
Wind driven rain has come into the downtown.,0,192
The aircraft is moved into the hangar.,0,193
"The knight raised his dragon battle axe, and dealt the creature a crushing blow.",0,194
"Nasal dryness causes nosebleeds, coughing, wheezing, and other short-term respiratory problems.",1,195
"In the next step, the chef added sugar into the mix.",0,196
The entire running gear of the engine was enclosed in a copper case.,0,197
The first author has observed a ringed seal slapping the water with its flipper as he approached.,0,198
The sketchy rock in Figure 16 is built up of many separate brush strokes.,0,199
My room has been moved into the corner of the first floor.,0,200
"I have ruined the outside, when I mistakenly used a bottle with soap in it, instead of water.",0,201
The stereo cutter head has two coils which move in a magnetic field.,0,202
"Colds and flu cause high fevers in babies and toddlers, but with the flu, the fever will last more than one or two days.",1,203
The owner uses your information solely in order to process your credit card payment.,0,204
"For registration purposes, the property in a vessel is divided into 64 indivisible shares.",0,205
I have been talking extensively here about the disruption that has been caused by the Brazilian Air Traffic Controllers white strike.,1,206
A Canadian doctor cured me with only a massage.,0,207
I have a large garbage bag full of clothes for a teen or preteen girl.,0,208
The staff of the hospital are committed to maintaining these services.,0,209
We put the trampoline data into the read-only section since a CPU hot plug was supported.,0,210
"The distraction caused by the students, coupled with limited vision down the track, caused the incident to occur.",1,211
A febrile seizure is a convulsion in a child triggered by a fever.,1,212
"The farm takes on the raffle of turkeys in July, when they're just one day old, until they're slaughtered in December.",0,213
"During this time, her stamp stock was locked in a safe and no one else had access to it.",0,214
Real-world truths were imported into the fictional world.,0,215
The electromagnetic  radiation from the sun arrives mostly in the form of visible and infrared wavelengths.,1,216
I'm 5ft10 and the jacket reaches about halfway down the fly of my jeans.,0,217
The island was farmed for oats and barley until 1796 when the owner mandated that oak and alder trees be planted.,0,218
The poisons were poured into his veins.,0,219
Immigrants accounted for more than half of Britain's population growth in recent years.,1,220
These conditions have relation to such matters as the magnitude and importance of the company.,0,221
His other research activities and accomplishments have been discussed in the section presented below.,0,222
The picture below shows a view chapel and west range of the inner courtyard of the castle.,0,223
He was very careful to see that the bit of the ax comes in direct line with the helve.,0,224
The playwright uses names as a device for wordplay at several points in the play.,0,225
A sewing machine is a mechanical  device that joins fabric using thread.,0,226
"The common cold and the flu are caused by different viruses, with symptoms of the flu presenting more quickly and with more severity than those of a cold.",1,227
Extensive references to scientific literature form an important part of each monograph and over 1800 new citations appear in the book.,0,228
The o-dichlorobenzene extractant was removed into chlorobenzene for the first step of rough separation.,0,229
"The team captured the provincial title with a convincing 6-1 victory over their adversaries, the Pas Huskies.",0,230
The carbon sank into the emitter.,0,231
The man graciously put off feeding his muster of peacocks  to chat.,0,232
The two trains caught fire after the collision and were burned.,1,233
He had been as concerned about the 400 people who had left the ship as about those who remained aboard.,0,234
"We evaluated the application of these guidelines, focusing on the opinions and experience of the global community of national assessors.",0,235
"Food poisoning is perhaps the commonest cause of abdominal pain, especially in the young dog or the scavenger type.",1,236
Death in a vat of chocolate was just waiting for some witty hilarious jokes.,0,237
The surprise visit caused a frenzy on the already chaotic trading floor.,1,238
Cold air at the surface moved southward into the mountains of Colorado.,0,239
The message is being delivered to the mailman.,0,240
The accompanying inflammatory process had caused the stricture of the mid-CBD.,1,241
"Solar disturbances such as flares, prominences, and sunspots increase the amount of radiation from the sun.",1,242
Reducing the harm caused by the War on Drugs is a big task.,1,243
"A polio outbreak in Nigeria was caused by the vaccine designed to stop it, leaving at least 69 children paralyzed.",1,244
This happens when a collecting agent inadvertently applies the PNS discount to an ineligible vessel.,0,245
Worker bees eating ordinary honey live only four to six weeks.,0,246
Commuters and holiday travellers are running into heavy delays on Route 128 in Weston this morning.,0,247
I'm going with some girls to get a bunch of flowers.,0,248
A new trial injection was inserted into a leg or an arm vein.,0,249
The applet requires a browser that supports JDK 1.1.5 or above.,0,250
That coupled with the death and destruction caused by the storm was a very traumatic experience for these residents.,1,251
The complement system is important as part of the body's defense mechanism against infection .,0,252
Mental disorders have often been featured in art and literature.,0,253
The research team is moving into a deeper cave to explore.,0,254
The body of a missing Fort Benning soldier was discovered inside a piece of air conditioning equipment Friday at a downtown hotel.,0,255
A street writer who specialises in love letters becomes involved with one of the addressees.,0,256
Chilika supports the largest congregation of migratory birds in the country during winter.,0,257
"The chapters included in the book are the ""core"" of this fundamental handbook on heterogeneous catalysis.",0,258
"Tulip mania, in the 1600s, was caused by the massive influx of newly discovered Gold into Amsterdam from the new world: in particular the capture of the Spanish Treasury fleet.",1,259
Adults with sleep deprivation who listened to soft classical music at bedtime reported a 35 percent improvement in their quality of sleep.,0,260
But the earthquake triggered by the eruption of Thera struck first.,1,261
The work was such a popular success that the poet wrote a sequel.,0,262
Dr. Legome discussed the hospital's response to the news that a plane had crashed into a river.,0,263
Often users have dragged MIDI clips into Audio tracks.,0,264
A local FM radio keeps the town informed about local and international development.,0,265
"My itinerary was in a suitcase, among stacks of teaching materials so I asked the Delta ticket agent to look up my outgoing flight number.",0,266
"Unfortunately, they just had brief mentions and more pages were spent describing the clubs scene.",0,267
This attachment has a taper shank which is inserted in the spindle of the machine.,0,268
Unemployment has been caused by people who either knowingly or unknowingly have priced people out of jobs.,1,269
Lauren also explores bisexuality in this new book.,0,270
"The thing that most struck him, however, was the rope of the great alarm bell on the roof, which hung down in a corner of the room on the right-hand side of the fireplace.",0,271
The novel depicts the harsh life of workers who worked on a crab-fishing and canning boat in the northern seas of Japan.,0,272
"Orion, a giant stellar nursery which has spawned roughly 20,000 low-mass stars like the sun in the last 10 million years, also harbors a handful of massive type O and B stars that emit blowtorch-like radiation.",0,273
Our whole evening was centered on the topic of courage.,0,274
Medical bills make up half of bankruptcies.,1,275
The first mathematician derived the new formula for the sum of the fourth power using a method that is readily general for determining the general formula for the sum of any integral powers.,0,276
One of the few landmarks to guide the charge was a copse of oak trees near the center of the Union line.,0,277
But Hong Kong was able to recover from that and is now experiencing strong economic growth from exports.,1,278
People did read the text in a dialog box.,0,279
Such formulations are already found in the apostolic writings.,0,280
The stone ginger beer has a ginger 'bite' without the 'ginger burn' of more peppery Jamaican ginger beers.,0,281
"The amide-linked local anesthetics, bupivacaine and ropivacaine, cause depression of cardiac contractility and dysrhythmias.",1,282
The conference was organised around four roundtables.,0,283
A technician assists the fishermen with this.,0,284
English cricket has now been dragged into the whole revolting business.,0,285
"The reaction starts at a rather low temperature , and the calorimeter is run from 40 to 130C.",1,286
"Picture books invite students to engage in critical discussion of complex issues of race, class, and gender.",0,287
Husseys sent their key players to the stadium for the decisive game.,0,288
"As in the popular movie ""Deep Impact"", the action of the Perseid meteor shower is caused by a comet, in this case periodic comet Swift-Tuttle.",1,289
The sacrifices were thrown into the volcano.,0,290
They put wine in the exact context it needs to be kept in - not so bloody serious.,0,291
"Chocolates, junk food, dirty skin, and stress cause acne.",1,292
"But they lost their child, Arife, here, in the muddy, freezing huddle of tents where the survivors eke out a living.",0,293
American sports are played with the hands.,0,294
"No water enters the inside of the dishwasher, and the motor makes a sound as if under strain",1,295
The blind woman took the taxi driver to the Equality Tribunal.,0,296
Last week the city had patched up the offending section of roadway.,0,297
Australia exports grains to the neighboring countries.,0,298
He schose the better approach: to be honest and understanding and to acknowledge the distress caused by the hallucinations or delusions.,1,299
These city dwellers have sunk into abominations.,0,300
"As part of a short-term strategy, the government has constructed 10300 houses, double than the fixed target of 5000 houses.",0,301
"Touch the tip of the brush on the paper and turn it to the opposite direction, the left a bit, as you begin writing.",0,302
Saudi Arabia has exported wheat to 30 countries including China.,0,303
"As his hand was put inside the glass box, he had to guess what creepy animal was inside.",0,304
The siphon in a cistern consisted of a pipe bent over above the water level in the cistern.,0,305
EXE is the common filename extension denoting an executable file.,0,306
These cells have been injected into the vitreous cavity.,0,307
"In many ways, the flavor of rye beer is reminiscent of wheat beers.",0,308
The second clause tells of the pension that is the equal of one service-fraction of final compensation.,0,309
"The bootlegger bought his staples there, as well as apples for his mash.",0,310
Exposure to vapor causes intense watering and irritation to eyes.,1,311
These are some of the many ways in which Hitler and the Nazi party used propaganda in order to brainwash and manipulate people into thinking that the Nazi party was a good party to be in.,0,312
The Barbarian invasions of the fifth century were triggered by the destruction of the Gothic kingdoms by the Huns in 372-375.,1,313
Conversation was centered more around investment in the consumer area rather than FB specific.,0,314
Cane sugar engineering and technology texts currently used are out of date and do not include most of the developments in technology,0,315
The country was a confederation of various tribal peoples of Caucasian descent .,0,316
The film revolves around a cadaver who seems to bring misfortune on those who come in contact with it.,0,317
Music Label is a very mature product that uses a powerful database engine.,0,318
Kelvin bought a silver ring which he was so happy with and he keeps wearing it now even though its abit too big haha.,0,319
A few space probes have been placed into orbit around other bodies.,0,320
The case centers on a tree at a high school that was a meeting place for white students.,0,321
My father spent his money on his company.,0,322
McGee's talent stemmed from mother's teaching.,1,323
"The hamper was full of high-quality sweet biscuits, chocolates, cakes and puddings, shortbread, pickles, teas and wine.",0,324
The calculated efficiency has already been defined in the preceding paragraph.,0,325
"In the evening, he threw wood into the bonfire.",0,326
The prosecution seeks to enter motives into Gibbs trial.,0,327
Frequent agitations throw academic life into disarray.,0,328
The report informed about casualties in the area.,0,329
We examined the electrical resistance of the paw pads of mice under the same conditions as used previously in studies of the passive avoidance response.,0,330
"I went with a few friends up to the sky pool bar area, proceeded to order a round of cocktail drinks and had to wait a considerable amount of time for them.",0,331
"Before the Council, Ireland had such a superfluity of Catholic priests that it exported many of them to Glasgow, England, and the United States.",0,332
These tanks have leaked contaminants into the groundwater.,0,333
The infection was caused by the contaminated chopsticks used by the parent to feed her child.,1,334
"Hiroshima has rejected the demands of some citizens and victims groups that the newly renovated museum include an exhibition on Japan's ""aggressive role"" in World War II, alongside the gruesome displays of the suffering and devastation caused by the bomb.",1,335
"The pig was in a crate on the back of the wagon, and cold as it was, Mr. Huy waded to the wagon and fed it that night and the next morning.",0,336
I had another idea to do with child care that was stroller related.,0,337
The Skinner box was inside a large wooden icebox.,0,338
"I was formerly a person who looked at the sky expecting only the usual clutter of planes, stars, and the occasional blinking satellite.",0,339
"The damages caused by the fires that immediately broke out and raged for three days, were by far worse than those caused by the earthquake itself.",1,340
These loans are travelling into foreclosure significantly slower than conventional loans.,0,341
Corruption is one of the main causes of a global crisis that deprives more than a billion people of access to safe drinking water and more than 2.6 billion of access to sanitation systems.,1,342
"The taste is from the ginseng, not alcohol.",1,343
"The risks of this procedure include anesthesia complications, post-operative difficulty breathing, and sore throat from intubation.",1,344
The demise of the bees has been caused by the globalization of commerce.,1,345
The bombing resulted in the deaths of 1318 in Hanoi.,1,346
The damage caused by the tsunami - at least the physical damage - is barely visible in some places.,1,347
The distance between a blog writer and an audience happens only if the audience never shows up.,0,348
A famous poet has entered his poems into three current contests.,0,349
"Dulce, a sophisticated girl of twelve, did not in the least care for the bird-fancier, and his waiting meinie of sparrows, or to go into the Louvre for a last look at the Victory.",0,350
"She used her fingertips to scrub into the bristles of the brush, getting between crevices where food can often get stuck.",0,351
The pilgrims rejoiced when they located a skein of wild fowl for their thanksgiving tables.,0,352
The computer is kept in a common area within our home.,0,353
"The second hypothesis asserting economic domination is rejected, and the third largely accepted.",0,354
He has highlighted some important issues with regard to the abilities of firefighters.,0,355
"The cat's large and prominent eyes are placed well forward on the head and, like the eyes of humans, they face forward.",0,356
The idea of Roman expansion into North Africa started with the fear and jealousy caused by the great economic power of Carthage.,1,357
The assay sample preparation unit processes a specimen using a fluorescent dye.,0,358
Addiction and poverty lead to neglect and abuse.,1,359
"To date, all outbreaks of the highly pathogenic form of avian influenza have been caused by viruses of the H5 and H7 subtypes.",1,360
Eighteen studies were focused on older adults living at home.,0,361
The period of tumor shrinkage after radiation therapy is often long and varied .,1,362
This unwillingness to fund on a secured basis placed stress on the liquidity of the firm.,0,363
It is an occasional publication reporting recent events and activities taking place at the Institute for Agriculture and Trade Policy.,0,364
Celebrity royalties flow into Dutch tax shelters.,0,365
"Police investigators later found brake discs on the car were broken, though experts from the Italian car manufacturers insist the damage was caused by the collision and the car had been in perfect condition.",1,366
Our objective is to review advances in the molecular biology and pharmacogenomics of lung cancer and how they apply to personalizing medicine.,0,367
The sailors threw tea into the Boston harbor.,0,368
"Liver cancer caused by HBV virus is among the first three causes of death from cancer in men, and a major cause of cancer in women.",1,369
"The focus of study is on psychological or mental mechanisms, also referred to as decision processes, information processes, or Darwinian algorithms.",0,370
A router manipulates a packet's header information to influence the packet's direction.,0,371
There are everyday actions that can help prevent the spread of germs that cause respiratory illnesses  like influenza.,1,372
Illinois race for lieutenant governor attracts a crowd of candidates.,0,373
Wales ' Commonwealth hopefuls impressed the gathered throng of spectators at the Norwich Union International this weekend.,0,374
The famous actor donated 100 houses to victims of last year's flood.,0,375
I moved the file into the folder.,0,376
Hundreds of bomb have been dropped into the target region.,0,377
Larger batteries provide standby power for telephone exchanges or computer data centers.,1,378
Many shoulder problems are caused by the breakdown of soft tissues in the shoulder region.,1,379
Often times I have watched a scold of blue jays band together to battle the crows.,0,380
The story put wine in a positive health light and pointed out that it was superior to other foods in that particular regard.,0,381
"The structural deficit has been caused by the series of tax cuts, not the recession or defense needs.",1,382
"MenuActivate"" occurs when the user accesses the menu with the keyboard or mouse.",0,383
The extrusion blew the molding into paperboard.,0,384
The head gasket leaked coolant into the oil.,0,385
A summary of the procedure appears in the table.,0,386
The kids get to hop around in a sack or pillowcase.,0,387
"Strawberry tea tastes almost as delicious as the berry itself, with a mild and fruity flavor.",0,388
The shifts are caused by gas flows going up one leg and returning down the other.,1,389
"The wind caused a neat effect on the smoke clouds though, causing a corkscrew in the otherwise straight line.",1,390
La Nicchia's lemon marmalade is a sublime addition to any vinaigrette or fish marinade.,0,391
Even the thinnest crack in a humidor is an open invitation to cigar beetles.,0,392
Butlers  are respected as the head of the household staff.,0,393
The fish gill is arguably one of the most complex transport epithelia in the biological world.,0,394
"During the first documented outbreak of human infections with H5N1, which occurred in Hong Kong in 1997, the 18 human cases coincided with an outbreak of highly pathogenic avian influenza, caused by a virtually identical virus, in poultry farms and live markets.",1,395
"California law consists of 29 codes, covering various subject areas, the State Constitution and Statutes.",0,396
This issue has been sent to the printer.,0,397
A telescope assists the eye chiefly in two ways.,0,398
This SNES controller has a flash drive loaded with ROMs inside.,0,399
"For example, the photo at the top of the page shows a pilot's emergency kit with a watch type compass included.",0,400
Flapping with his wings the duckling quacked for joy.,0,401
The bomb was hidden in the gas tank of a motorcycle.,0,402
"A man picked us up at an airport on the west coast a short time ago, and on the floor of his car was a bottle with liquid in it.",0,403
We are only interested in the parts of the proposals that pertain to local issues.,0,404
"Apparently, beyond the damage caused by the smoke and the water, the structure of the store itself it was not overly damaged.",1,405
"And for brunch, we had the cast iron pan  as well as the banana pancakes with redcurrent syrup and caramelized bananas and walnuts .",0,406
The phone went into the washer.,0,407
Peterson worked as a fertilizer salesman before his arrest.,0,408
Many disorders of the stomach and intestines cause nausea and vomiting.,1,409
